Year,Transect_no,Control,Date,Birds_present,Part_of_transect,Dostance_cat,No_singing_males
2011,TBB08,1,1/06/2011,yes,3,1,1
2011,TBB08,1,1/06/2011,yes,3,2,1
2011,TBB08,1,1/06/2011,yes,4,1,3
2011,TBB08,1,1/06/2011,no,5,,0
2011,TBB08,2,2/06/2011,yes,1,3,1
2011,TBB08,2,2/06/2011,yes,2,2,1
2011,TBB08,2,2/06/2011,yes,3,1,2
2011,TBB08,2,2/06/2011,yes,3,2,1
2011,TBB08,2,2/06/2011,yes,4,2,2
2011,TBB08,2,2/06/2011,yes,5,1,1
2011,TBB08,2,2/06/2011,yes,5,2,3
2011,TBB08,2,2/06/2011,yes,5,3,2
2011,TBB08,3,3/06/2011,no,1,,0
2011,TBB08,3,3/06/2011,yes,2,2,3
2011,TBB08,3,3/06/2011,yes,2,3,1
2011,TBB08,3,3/06/2011,yes,3,1,1
2011,TBB08,3,3/06/2011,yes,3,2,1
2011,TBB08,3,3/06/2011,yes,4,2,4
2011,TBB08,3,3/06/2011,yes,4,3,2
2011,TBB08,3,3/06/2011,yes,5,2,4
2011,TBB08,3,3/06/2011,yes,5,3,1
2011,TBB09,1,8/06/2011,yes,1,1,1
2011,TBB09,1,8/06/2011,yes,1,2,3
2011,TBB09,1,8/06/2011,yes,1,3,1
2011,TBB09,1,8/06/2011,yes,2,1,1
2011,TBB09,1,8/06/2011,yes,2,2,1
2011,TBB09,1,8/06/2011,yes,3,1,1
2011,TBB09,1,8/06/2011,yes,4,2,2
2011,TBB09,1,8/06/2011,yes,5,2,1
2011,TBB09,1,8/06/2011,yes,5,3,1
2011,TBB09,2,9/06/2011,yes,1,2,3
2011,TBB09,2,9/06/2011,yes,1,3,1
2011,TBB09,2,9/06/2011,yes,2,1,2
2011,TBB09,2,9/06/2011,yes,2,2,1
2011,TBB09,2,9/06/2011,yes,3,1,1
2011,TBB09,2,9/06/2011,yes,4,1,1
2011,TBB09,2,9/06/2011,yes,4,2,1
2011,TBB09,2,9/06/2011,yes,5,3,2
2011,TBB09,3,10/06/2011,yes,1,1,1
2011,TBB09,3,10/06/2011,yes,1,2,4
