"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[2,19]",11.09485,2.74571337743924,7,9,11,13,17,0.999993514321792,40000,0,1,"Ntot[2,19]"
"Ntot[3,19]",11.09485,2.74571337743924,7,9,11,13,17,0.999993514321792,40000,0,1,"Ntot[3,19]"
"Ntot[4,19]",11.09485,2.74571337743924,7,9,11,13,17,0.999993514321792,40000,0,1,"Ntot[4,19]"
"Ntot[5,19]",11.09485,2.74571337743924,7,9,11,13,17,0.999993514321792,40000,0,1,"Ntot[5,19]"
"Ntot[6,19]",11.09485,2.74571337743924,7,9,11,13,17,0.999993514321792,40000,0,1,"Ntot[6,19]"
"Ntot[7,19]",11.09485,2.74571337743924,7,9,11,13,17,0.999993514321792,40000,0,1,"Ntot[7,19]"
"Ntot[8,19]",11.09485,2.74571337743924,7,9,11,13,17,0.999993514321792,40000,0,1,"Ntot[8,19]"
"Ntot[1,20]",7.15775,2.30849478366406,3,6,7,9,12,1.0000182658569,40000,0,1,"Ntot[1,20]"
"Ntot[2,20]",7.15775,2.30849478366406,3,6,7,9,12,1.0000182658569,40000,0,1,"Ntot[2,20]"
"Ntot[3,20]",7.15775,2.30849478366406,3,6,7,9,12,1.0000182658569,40000,0,1,"Ntot[3,20]"
"Ntot[4,20]",7.15775,2.30849478366406,3,6,7,9,12,1.0000182658569,40000,0,1,"Ntot[4,20]"
"Ntot[5,20]",7.15775,2.30849478366406,3,6,7,9,12,1.0000182658569,40000,0,1,"Ntot[5,20]"
"Ntot[6,20]",7.15775,2.30849478366406,3,6,7,9,12,1.0000182658569,40000,0,1,"Ntot[6,20]"
"Ntot[7,20]",7.15775,2.30849478366406,3,6,7,9,12,1.0000182658569,40000,0,1,"Ntot[7,20]"
"Ntot[8,20]",7.15775,2.30849478366406,3,6,7,9,12,1.0000182658569,40000,0,1,"Ntot[8,20]"
"Ntot[1,21]",5.0088,2.02167622021146,2,4,5,6,9,1.00006564289233,34115,0,1,"Ntot[1,21]"
"Ntot[2,21]",5.0088,2.02167622021146,2,4,5,6,9,1.00006564289233,34115,0,1,"Ntot[2,21]"
"Ntot[3,21]",5.0088,2.02167622021146,2,4,5,6,9,1.00006564289233,34115,0,1,"Ntot[3,21]"
"Ntot[4,21]",5.0088,2.02167622021146,2,4,5,6,9,1.00006564289233,34115,0,1,"Ntot[4,21]"
"Ntot[5,21]",5.0088,2.02167622021146,2,4,5,6,9,1.00006564289233,34115,0,1,"Ntot[5,21]"
"Ntot[6,21]",5.0088,2.02167622021146,2,4,5,6,9,1.00006564289233,34115,0,1,"Ntot[6,21]"
"Ntot[7,21]",5.0088,2.02167622021146,2,4,5,6,9,1.00006564289233,34115,0,1,"Ntot[7,21]"
"Ntot[8,21]",5.0088,2.02167622021146,2,4,5,6,9,1.00006564289233,34115,0,1,"Ntot[8,21]"
"Ntot[1,22]",4.641975,2.17019834194852,1,3,5,6,9,1.00003432914866,37969,0,1,"Ntot[1,22]"
"Ntot[2,22]",4.641975,2.17019834194852,1,3,5,6,9,1.00003432914866,37969,0,1,"Ntot[2,22]"
"Ntot[3,22]",4.641975,2.17019834194852,1,3,5,6,9,1.00003432914866,37969,0,1,"Ntot[3,22]"
"Ntot[4,22]",4.641975,2.17019834194852,1,3,5,6,9,1.00003432914866,37969,0,1,"Ntot[4,22]"
"Ntot[5,22]",4.641975,2.17019834194852,1,3,5,6,9,1.00003432914866,37969,0,1,"Ntot[5,22]"
"Ntot[6,22]",4.641975,2.17019834194852,1,3,5,6,9,1.00003432914866,37969,0,1,"Ntot[6,22]"
"Ntot[7,22]",4.641975,2.17019834194852,1,3,5,6,9,1.00003432914866,37969,0,1,"Ntot[7,22]"
"Ntot[8,22]",4.641975,2.17019834194852,1,3,5,6,9,1.00003432914866,37969,0,1,"Ntot[8,22]"
"Ntot[1,23]",20.1271,5.30757947184931,10,17,20,23,31,1.00001077227247,40000,0,1,"Ntot[1,23]"
"Ntot[2,23]",20.122825,5.30779552514115,11,17,20,23,31,1.00020088945091,10105,0,1,"Ntot[2,23]"
"Ntot[3,23]",20.448175,5.41101156398031,11,17,20,24,32,1.00009460411896,21477,0,1,"Ntot[3,23]"
"Ntot[4,23]",20.468875,5.45946667530671,11,17,20,24,32,1.00001682311746,40000,0,1,"Ntot[4,23]"
"Ntot[5,23]",20.458725,5.4096144014684,11,17,20,24,32,1.0000499799264,40000,0,1,"Ntot[5,23]"
"Ntot[6,23]",20.437625,5.42723186629411,11,17,20,24,32,1.00008646697637,31722,0,1,"Ntot[6,23]"
"Ntot[7,23]",20.464625,5.42801853294596,11,17,20,24,32,1.00001088412171,40000,0,1,"Ntot[7,23]"
"Ntot[8,23]",20.4549,5.41101173221784,11,17,20,24,32,1.00006235050601,34217,0,1,"Ntot[8,23]"
"Ntot[1,24]",33.878875,9.0534525380899,18,28,33,39,54,1.00010971864601,33829,0,1,"Ntot[1,24]"
"Ntot[2,24]",33.86995,9.08424460728585,18,28,33,39,54,1.00021089160921,21415,0,1,"Ntot[2,24]"
"Ntot[3,24]",35.474075,9.72133172469891,19,29,35,41,57,1.00015101637924,40000,0,1,"Ntot[3,24]"
"Ntot[4,24]",35.452275,9.83503383429046,19,29,35,41,57,1.00014903976795,40000,0,1,"Ntot[4,24]"
"Ntot[5,24]",35.49535,9.77269236267061,19,29,35,41,57,1.00027217986633,13888,0,1,"Ntot[5,24]"
"Ntot[6,24]",35.506525,9.77579902517127,19,29,35,41,57,1.00000924969038,40000,0,1,"Ntot[6,24]"
"Ntot[7,24]",35.53,9.81613258424481,19,29,35,41,57,1.00013234285238,29257,0,1,"Ntot[7,24]"
"Ntot[8,24]",35.48635,9.78910155939928,19,29,35,41,57,1.00007773571595,40000,0,1,"Ntot[8,24]"
"Ntot[1,25]",46.201825,13.7770166155103,24,37,45,53,76,1.00069621663808,40000,0,1,"Ntot[1,25]"
"Ntot[2,25]",46.184475,13.6623153398641,24,37,45,53,76,1.00068697127912,40000,0,1,"Ntot[2,25]"
"Ntot[3,25]",49.86065,15.5140371506329,26,40,48,58,83,1.00140417772506,40000,0,1,"Ntot[3,25]"
"Ntot[4,25]",49.865225,15.5411501788991,26,40,48,58,84,1.00075339377905,40000,0,1,"Ntot[4,25]"
"Ntot[5,25]",49.89625,15.5043266716468,26,40,48,58,83,1.00145664552954,13680,0,1,"Ntot[5,25]"
"Ntot[6,25]",49.919175,15.5076933982214,26,40,48,57,84,1.00053482900546,40000,0,1,"Ntot[6,25]"
"Ntot[7,25]",49.950925,15.4510205163041,26,40,48,58,84,1.00079609218106,31532,0,1,"Ntot[7,25]"
"Ntot[8,25]",49.924525,15.5365235208348,26,40,48,58,84,1.00070653287936,40000,0,1,"Ntot[8,25]"
"Ntot[1,26]",57.05655,18.1641239943608,29,46,55,66,98,1.00019936781596,40000,0,1,"Ntot[1,26]"
"Ntot[2,26]",57.124375,18.2211774082255,29,45,55,66,99,1.00022755483503,40000,0,1,"Ntot[2,26]"
"Ntot[3,26]",63.60355,21.4895258763557,32,50,61,74,112,1.00035604538953,40000,0,1,"Ntot[3,26]"
"Ntot[4,26]",63.641525,21.3672151817098,32,50,61,74,112,1.00024415632039,40000,0,1,"Ntot[4,26]"
"Ntot[5,26]",63.67075,21.341849294304,32,50,61,74,112,1.00027528512726,36483,0,1,"Ntot[5,26]"
"Ntot[6,26]",63.688,21.7418300443947,32,50,61,74,112,1.00033055862522,40000,0,1,"Ntot[6,26]"
"Ntot[7,26]",63.7386,21.4875397125653,32,50,61,74,112,1.00034791088097,40000,0,1,"Ntot[7,26]"
"Ntot[8,26]",63.6569,21.5040052768333,32,50,61,74,112,1.00039623028784,40000,0,1,"Ntot[8,26]"
"Ntot[1,27]",66.98085,23.5371065163516,33,53,64,77,118,1.0016116450786,40000,0,1,"Ntot[1,27]"
"Ntot[2,27]",67.038875,23.702732104593,33,53,64,77,119,1.00182285140569,40000,0,1,"Ntot[2,27]"
"Ntot[3,27]",76.894875,30.0642856270714,37,59,73,89,141,1.00423319766991,40000,0,1,"Ntot[3,27]"
"Ntot[4,27]",76.836675,29.2989890732324,37,59,73,89,140,1.00229891537822,40000,0,1,"Ntot[4,27]"
"Ntot[5,27]",76.92725,29.0462648127946,37,59,73,89,141,1.00184100929264,40000,0,1,"Ntot[5,27]"
