parm,mean,sd,lcl,25%,median,75%,ucl,Rhat,n.eff,overlap0,f,parm
"db[16,2]",0.249868231,0.07024367,0.11312793,0.20266627,0.249677747,0.296924979,0.389224538,1.000018169,40000,0,1,"db[16,2]"
"db[17,2]",0.249901551,0.070100464,0.113418694,0.202535756,0.249711257,0.297137096,0.388700105,1.000030938,38646,0,1,"db[17,2]"
"db[18,2]",0.249446671,0.070034217,0.111016343,0.20230306,0.249004299,0.296863774,0.386600769,1.000093428,21261,0,1,"db[18,2]"
"db[19,2]",0.250467966,0.070181053,0.112149108,0.203325126,0.250154517,0.29766558,0.38852327,1.000034994,40000,0,1,"db[19,2]"
"db[20,2]",0.250487246,0.06922484,0.114917427,0.204171903,0.250562541,0.296888948,0.388149446,1.000090628,22162,0,1,"db[20,2]"
"db[21,2]",0.250642463,0.069411368,0.114920148,0.203531616,0.250307048,0.297790181,0.385700796,0.999995205,40000,0,1,"db[21,2]"
"db[22,2]",0.250485399,0.070129721,0.113231308,0.203384039,0.250082895,0.29793925,0.387605985,0.999992585,40000,0,1,"db[22,2]"
"db[23,2]",0.249096188,0.069846393,0.112102993,0.202041777,0.249351642,0.296164091,0.386785688,1.000103985,20366,0,1,"db[23,2]"
"db[24,2]",0.250554602,0.070083513,0.112481157,0.203401233,0.250444943,0.297735248,0.388574715,1.000076879,20791,0,1,"db[24,2]"
"db[25,2]",0.250266066,0.069534973,0.113089358,0.203238194,0.250136094,0.297528948,0.38593639,0.999991217,40000,0,1,"db[25,2]"
"db[26,2]",0.249759516,0.069887756,0.112316167,0.202429456,0.249847611,0.296810864,0.38721482,0.999997085,40000,0,1,"db[26,2]"
"db[27,2]",0.250205312,0.070088719,0.112633697,0.202351098,0.249680082,0.296901408,0.387979737,1.000117488,16417,0,1,"db[27,2]"
"db[28,2]",0.25024565,0.069626662,0.113772671,0.203145746,0.249925076,0.297284359,0.38679297,1.000065578,28721,0,1,"db[28,2]"
"db[29,2]",0.249955355,0.069765887,0.113698526,0.203075189,0.249888459,0.296917019,0.386822557,1.00013996,18069,0,1,"db[29,2]"
"db[30,2]",0.249655252,0.07009754,0.111547355,0.202723419,0.24965263,0.297045536,0.386924807,0.999978281,40000,0,1,"db[30,2]"
"db[31,2]",0.250291386,0.06985617,0.11369752,0.203202399,0.250391749,0.29738689,0.387002278,1.000067511,22773,0,1,"db[31,2]"
"db[32,2]",0.250036225,0.069987595,0.112748405,0.203026683,0.249704062,0.297506738,0.38727679,1.000128968,14124,0,1,"db[32,2]"
"db[33,2]",0.250393509,0.069876852,0.113501004,0.203094539,0.250493203,0.297627766,0.387098341,1.000030476,36144,0,1,"db[33,2]"
"db[34,2]",0.249273155,0.069740929,0.11281698,0.202191423,0.248714729,0.296064923,0.38699342,1.000108849,28544,0,1,"db[34,2]"
"db[35,2]",0.249653152,0.069709643,0.111835108,0.202631315,0.249834151,0.296430084,0.385614985,0.999987378,40000,0,1,"db[35,2]"
"db[36,2]",0.249361973,0.069505893,0.113395767,0.202230203,0.249325513,0.296544999,0.384826766,1.000046162,30280,0,1,"db[36,2]"
"db[37,2]",0.249856573,0.069955502,0.112045766,0.202674446,0.250101763,0.297313955,0.387035136,1.000072881,25199,0,1,"db[37,2]"
"db[38,2]",0.250290129,0.069692057,0.11326368,0.203606641,0.250186295,0.296764855,0.388140537,1.000049226,30307,0,1,"db[38,2]"
"db[1,3]",0,0,0,0,0,0,0,NA,1,1,1,"db[1,3]"
"db[2,3]",0,0,0,0,0,0,0,NA,1,1,1,"db[2,3]"
"db[3,3]",0,0,0,0,0,0,0,NA,1,1,1,"db[3,3]"
