"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[35,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[35,1]"
"Ntot[36,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[36,1]"
"Ntot[37,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[37,1]"
"Ntot[1,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[1,2]"
"Ntot[2,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[2,2]"
"Ntot[3,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[3,2]"
"Ntot[4,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[4,2]"
"Ntot[5,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[5,2]"
"Ntot[6,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[6,2]"
"Ntot[7,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[7,2]"
"Ntot[8,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[8,2]"
"Ntot[9,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[9,2]"
"Ntot[10,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[10,2]"
"Ntot[11,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[11,2]"
"Ntot[12,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[12,2]"
"Ntot[13,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[13,2]"
"Ntot[14,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[14,2]"
"Ntot[15,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[15,2]"
"Ntot[16,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[16,2]"
"Ntot[17,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[17,2]"
"Ntot[18,2]",145.3103,9.94404776799419,127,138,145,152,165,1.00002916116656,40000,0,1,"Ntot[18,2]"
