"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"db[16,3]",0.250081278524809,0.0699017829049673,0.112712572040911,0.202909307653816,0.250068700767734,0.297086077856934,0.386724290059782,1.00002882610196,36864,0,1,"db[16,3]"
"db[17,3]",0.250307966443914,0.0700387553999614,0.11319271702426,0.202738657185132,0.249816163135485,0.298178141715356,0.38629586154878,1.00009406138454,18805,0,1,"db[17,3]"
"db[18,3]",0.249573324207868,0.0697409614201206,0.112794891062984,0.202532400978532,0.250011665852574,0.295930931555553,0.387056227576019,1.00002835236072,40000,0,1,"db[18,3]"
"db[19,3]",0.250055190957043,0.0701537509432636,0.113396703498041,0.202348269790399,0.24981404921423,0.298283954277357,0.387043613372165,1.00007352677551,26546,0,1,"db[19,3]"
"db[20,3]",0,0,0,0,0,0,0,NA,1,1,1,"db[20,3]"
"db[21,3]",0,0,0,0,0,0,0,NA,1,1,1,"db[21,3]"
"db[22,3]",0,0,0,0,0,0,0,NA,1,1,1,"db[22,3]"
"db[23,3]",0,0,0,0,0,0,0,NA,1,1,1,"db[23,3]"
"db[24,3]",0.250139872991269,0.0697067962905335,0.11284844497068,0.203215586031503,0.250343601208957,0.297288052432587,0.386642169718907,0.999989702279756,40000,0,1,"db[24,3]"
"db[25,3]",0.24981911027972,0.0698232269122798,0.112655453346276,0.202580138032604,0.249930750822597,0.297072936827402,0.385914923492129,0.999993404241989,40000,0,1,"db[25,3]"
"db[26,3]",0.250092704012603,0.0696163431431147,0.112970094255019,0.203371461858677,0.24991106881801,0.296921868099168,0.38734587070485,0.999969532345125,40000,0,1,"db[26,3]"
"db[27,3]",0.250632656346708,0.0697804101276722,0.113990836921331,0.203635115380065,0.250760661751859,0.297385032096855,0.388558779864243,0.999988308558948,40000,0,1,"db[27,3]"
"db[28,3]",0.250230887856735,0.070292836150148,0.111360679812813,0.202493468860305,0.25016417109085,0.297797179444439,0.389132258436381,1.0000683529544,23123,0,1,"db[28,3]"
"db[29,3]",0.25006488810441,0.0700176067791486,0.111984328605316,0.20266671096001,0.250604478255211,0.297492752381801,0.386642126775873,1.00011825335487,20970,0,1,"db[29,3]"
"db[30,3]",0.25004803373845,0.070147076926766,0.112823945025593,0.202701491226804,0.250104357102367,0.297160451097157,0.387750402488824,1.00000771271164,40000,0,1,"db[30,3]"
